opcion1,opcion2,opcion3,opcion4,opcionCorrecta
Infiltrarse en los otros segmentos de Super-Mega para reunir información,Infiltrarse en los otros segmentos de Super-Mega para matar a los admins de esos segmentos,Crear un nuevo régimen donde Sadhu sea el único admin de Super-Mega,Unirse al ejercito de Amigardia como comandantes,Infiltrarse en los otros segmentos de Super-Mega para reunir información
Giordano,Melissa,Issac,Samir,Melissa
Sadhu y Johann,Samir y Emilio,Jordy y Giordano,Kike y Daniel,Kike y Daniel
El Rey de los Simps,El Destructor de Grupos,El Designador de Roles,El Ladrón Honrado,El Rey de los Simps
Poner una bomba dentro de la reunión,Secuestrar a los nobles,Asesinar a varios funcionarios gubernamentales,Derrocar al admin Johann,Asesinar a varios funcionarios gubernamentales
Amigardia,Ronaldinho LOL,Universo-B2,No se unió a ningún reino,Universo-B2
Para conocer a todos los del grupo,Para juntar a todos los del grupo,Para derrotar a Deus,Para ser el admin de los tres reinos de Super-Mega,Para juntar a todos los del grupo
Los admins de los tres reinos de Super-Mega se reunen,Los mercaderes de los tres reinos se reunen y venden cosas con descuentos,Las personas de los tres reinos salen para jugar y hablar,Las personas piden autografos y fotos a las personas famosas de los reinos,Los mercaderes de los tres reinos se reunen y venden cosas con descuentos
Melissa ataca a los admins y después ellos se pelean,Issac planta una bomba en el festival LLamada Grupal lo que provoca tensión entre los admins,Dioggo critica a los admins y después ellos se pelean,Samir planta una bomba en el festival LLamada Grupal para provocar una guerra,Dioggo critica a los admins y después ellos se pelean
Porque era un plan para un bien mayor,Porque odiaba a Dioggo,Porque quería quedarse todo lo robado para él,Porque quería largarse de Super-Mega,Porque quería largarse de Super-Mega

