opcion1,opcion2,opcion3,opcion4,opcionCorrecta
La O.R.C.A son las siglas de Organzación Rebelde en Contra de todos los Admins,Las ciudades de Ronaldinho LOL se llaman canales,Melissa tenía un ejercito de la O.R.C.A afuera de la frontera de Universo-B2,Samir proviene de un pueblo llamado Paraguay,Las ciudades de Ronaldinho LOL se llaman canales
Se pueden hacer alianzas o tratos para llegar a un fin,Los admins solo pueden ser derrotados por segundos al mando o los propios admins,Si dejas tu cargo automáticamente pierdes la lucha,Después de comenzar la guerra nadie podrá salir,Si dejas tu cargo automáticamente pierdes la lucha
Quería volver a como todo era antes de la preguerra,Quería debatir sobre economía y sociedad,Quería evitar que los oligarcas vuelvan a tomar el control,Quería unificar Super-Mega con Crrania,Quería volver a como todo era antes de la preguerra
Uno,Dos,Tres,Cuatro,Tres
Investigar unos casos de homicidio,Realizar un reconocimiento de campo en todo el territorio,Realizar un allanamiento en la guarida de "The Killer-Nazi",Resguardar a la población frente a un posible atentado al reino,Realizar un reconocimiento de campo en todo el territorio
Porque fue asesinado en la guerra santa,Porque renunció al cargo al final de la guerra,Porque perdió en contra de Sadhu,Porque su reino quedó destruido,Porque su reino quedó destruido
Los arcos de rol en Whatsapp,Los servers de Minecraft,Bebetronic,La impuntualidad de Sadhu,Los servers de Minecraft
De construir las armas de la compañía,De negociar los contratos de la compañía,De traducir lo que decía Samir,De administrar el dinero de Samir,De traducir lo que decía Samir
Porque no quería revelar sus intenciones frente a ellos,Porque quería negociar pacíficamente con los admins,Porque si se revelaba Johann la iba a matar,Porque estaba bajo el control de un collar,Porque estaba bajo el control de un collar
Fantasia,Misterio,Drama,Historia del grupo,Fantasia
